date,item_id,item_name,store_id,store_name,price,item_count,kcal,cost,sales_amount
2019-01-02,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,8,490.0,4.18,33.439998626708984
2019-01-02,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,110,284.0,3.21,353.100004196167
2019-01-02,19,Strawberry Smoothy,1,Bob's Diner,2.89,94,145.0,2.89,271.66000986099243
2019-01-02,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,4,269.0,23.23,92.91999816894531
2019-01-02,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,4,671.0,10.86,43.439998626708984
2019-01-02,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-02,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,1,227.0,23.43,23.43000030517578
2019-01-02,49,Awesome Smoothy,3,Sweet Shack,1.39,1,78.0,1.39,1.3899999856948853
2019-01-02,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,12,613.0,28.75,345.0
2019-01-02,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,21,392.0,23.37,490.77001762390137
2019-01-02,67,Sweet Lamb Cake,1,Bob's Diner,7.0,19,558.0,7.0,133.0
2019-01-02,73,Milky Cake,1,Bob's Diner,5.16,1,596.0,5.16,5.159999847412109
2019-01-02,76,Amazing pork lunch,1,Bob's Diner,17.93,24,679.0,17.93,430.32000732421875
2019-01-02,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,2,881.0,53.98,107.95999908447266
2019-01-02,89,Awesome Soft Drink,6,Surfs Up,3.06,1,248.0,3.06,3.059999942779541
2019-01-02,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,1,838.0,7.71,7.710000038146973
2019-01-02,93,Lamb with Bread Entree,5,Corner Cafe,12.44,1,585.0,12.44,12.4399995803833
2019-01-02,94,Fruity Milky Smoothy,6,Surfs Up,5.71,1,331.0,5.71,5.710000038146973
2019-01-03,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,29,763.0,26.42,766.1800022125244
2019-01-03,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,6,478.0,4.87,29.219999313354492
2019-01-03,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,6,490.0,4.18,25.07999897003174
2019-01-03,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,144,284.0,3.21,462.24000549316406
2019-01-03,19,Strawberry Smoothy,1,Bob's Diner,2.89,127,145.0,2.89,367.0300133228302
2019-01-03,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,7,269.0,23.23,162.6099967956543
2019-01-03,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,6,671.0,10.86,65.15999794006348
2019-01-03,25,Fantastic Frozen Milky Cake,1,Bob's Diner,6.23,1,587.0,6.23,6.230000019073486
2019-01-03,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-03,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,1,227.0,23.43,23.43000030517578
2019-01-03,49,Awesome Smoothy,3,Sweet Shack,1.39,2,78.0,1.39,2.7799999713897705
2019-01-03,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,18,613.0,28.75,517.5
2019-01-03,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,30,392.0,23.37,701.100025177002
2019-01-03,67,Sweet Lamb Cake,1,Bob's Diner,7.0,30,558.0,7.0,210.0
2019-01-03,73,Milky Cake,1,Bob's Diner,5.16,1,596.0,5.16,5.159999847412109
2019-01-03,76,Amazing pork lunch,1,Bob's Diner,17.93,32,679.0,17.93,573.760009765625
2019-01-03,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,2,881.0,53.98,107.95999908447266
2019-01-03,94,Fruity Milky Smoothy,6,Surfs Up,5.71,1,331.0,5.71,5.710000038146973
2019-01-03,97,Original Fruity Cod with Bread and Vegetables Entree,4,Fou Cher,28.65,1,744.0,28.65,28.649999618530273
2019-01-04,3,Sweet Fruity Cake,1,Bob's Diner,29.22,6,931.0,29.22,175.31999588012695
2019-01-04,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,18,763.0,26.42,475.560001373291
2019-01-04,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,6,478.0,4.87,29.219999313354492
2019-01-04,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,11,490.0,4.18,45.97999811172485
2019-01-04,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,211,284.0,3.21,677.3100080490112
2019-01-04,19,Strawberry Smoothy,1,Bob's Diner,2.89,143,145.0,2.89,413.270015001297
2019-01-04,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,14,269.0,23.23,325.2199935913086
2019-01-04,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,13,671.0,10.86,141.1799955368042
2019-01-04,29,Original Crazy Cocktail,2,Beachfront Bar,2.43,1,228.0,2.43,2.430000066757202
2019-01-04,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-04,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,1,227.0,23.43,23.43000030517578
2019-01-04,49,Awesome Smoothy,3,Sweet Shack,1.39,2,78.0,1.39,2.7799999713897705
2019-01-04,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,20,613.0,28.75,575.0
2019-01-04,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,39,392.0,23.37,911.4300327301025
2019-01-04,67,Sweet Lamb Cake,1,Bob's Diner,7.0,20,558.0,7.0,140.0
2019-01-04,76,Amazing pork lunch,1,Bob's Diner,17.93,56,679.0,17.93,1004.0800170898438
2019-01-04,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,1,881.0,53.98,53.97999954223633
2019-01-04,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,1,838.0,7.71,7.710000038146973
2019-01-05,3,Sweet Fruity Cake,1,Bob's Diner,29.22,4,931.0,29.22,116.87999725341797
2019-01-05,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,29,763.0,26.42,766.1800022125244
2019-01-05,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,15,478.0,4.87,73.04999828338623
2019-01-05,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,14,490.0,4.18,58.51999759674072
2019-01-05,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,169,284.0,3.21,542.4900064468384
2019-01-05,19,Strawberry Smoothy,1,Bob's Diner,2.89,162,145.0,2.89,468.1800169944763
2019-01-05,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,9,269.0,23.23,209.06999588012695
2019-01-05,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,8,671.0,10.86,86.87999725341797
2019-01-05,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-05,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,5,227.0,23.43,117.1500015258789
2019-01-05,49,Awesome Smoothy,3,Sweet Shack,1.39,2,78.0,1.39,2.7799999713897705
2019-01-05,50,Pike Lunch,5,Corner Cafe,26.37,1,653.0,26.37,26.3700008392334
2019-01-05,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,22,613.0,28.75,632.5
2019-01-05,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,30,392.0,23.37,701.100025177002
2019-01-05,67,Sweet Lamb Cake,1,Bob's Diner,7.0,27,558.0,7.0,189.0
2019-01-05,68,Blue Ribbon Fruity Milky Cake,1,Bob's Diner,8.7,1,652.0,8.7,8.699999809265137
2019-01-05,75,Blue Ribbon Milky Smoothy,4,Fou Cher,5.6,1,459.0,5.6,5.599999904632568
2019-01-05,76,Amazing pork lunch,1,Bob's Diner,17.93,48,679.0,17.93,860.6400146484375
2019-01-05,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,2,838.0,7.71,15.420000076293945
2019-01-05,91,Halibut with Bread Dinner,5,Corner Cafe,15.46,1,468.0,15.46,15.460000038146973
2019-01-05,97,Original Fruity Cod with Bread and Vegetables Entree,4,Fou Cher,28.65,1,744.0,28.65,28.649999618530273
2019-01-06,3,Sweet Fruity Cake,1,Bob's Diner,29.22,1,931.0,29.22,29.219999313354492
2019-01-06,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,9,763.0,26.42,237.7800006866455
2019-01-06,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,3,478.0,4.87,14.609999656677246
2019-01-06,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,6,490.0,4.18,25.07999897003174
2019-01-06,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,51,284.0,3.21,163.7100019454956
2019-01-06,19,Strawberry Smoothy,1,Bob's Diner,2.89,61,145.0,2.89,176.29000639915466
2019-01-06,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,2,269.0,23.23,46.459999084472656
2019-01-06,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,4,671.0,10.86,43.439998626708984
2019-01-06,26,Blue Ribbon Lamb with Rolls Lunch,5,Corner Cafe,7.55,1,611.0,7.55,7.550000190734863
2019-01-06,27,Steak Meal,6,Surfs Up,26.21,1,607.0,26.21,26.209999084472656
2019-01-06,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-06,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,2,227.0,23.43,46.86000061035156
2019-01-06,49,Awesome Smoothy,3,Sweet Shack,1.39,3,78.0,1.39,4.169999957084656
2019-01-06,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,3,613.0,28.75,86.25
2019-01-06,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,13,392.0,23.37,303.8100109100342
2019-01-06,67,Sweet Lamb Cake,1,Bob's Diner,7.0,7,558.0,7.0,49.0
2019-01-06,71,Frozen Milky Smoothy,5,Corner Cafe,3.98,1,211.0,3.98,3.9800000190734863
2019-01-06,76,Amazing pork lunch,1,Bob's Diner,17.93,16,679.0,17.93,286.8800048828125
2019-01-06,79,Fruity Frozen Slushy,4,Fou Cher,3.75,1,137.0,3.75,3.75
2019-01-06,94,Fruity Milky Smoothy,6,Surfs Up,5.71,1,331.0,5.71,5.710000038146973
2019-01-07,3,Sweet Fruity Cake,1,Bob's Diner,29.22,1,931.0,29.22,29.219999313354492
2019-01-07,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,13,763.0,26.42,343.4600009918213
2019-01-07,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,3,478.0,4.87,14.609999656677246
2019-01-07,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,4,490.0,4.18,16.719999313354492
2019-01-07,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,65,284.0,3.21,208.65000247955322
2019-01-07,19,Strawberry Smoothy,1,Bob's Diner,2.89,80,145.0,2.89,231.20000839233398
2019-01-07,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,1,269.0,23.23,23.229999542236328
2019-01-07,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,2,671.0,10.86,21.719999313354492
2019-01-07,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-07,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,5,613.0,28.75,143.75
2019-01-07,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,13,392.0,23.37,303.8100109100342
2019-01-07,67,Sweet Lamb Cake,1,Bob's Diner,7.0,9,558.0,7.0,63.0
2019-01-07,68,Blue Ribbon Fruity Milky Cake,1,Bob's Diner,8.7,1,652.0,8.7,8.699999809265137
2019-01-07,73,Milky Cake,1,Bob's Diner,5.16,2,596.0,5.16,10.319999694824219
2019-01-07,76,Amazing pork lunch,1,Bob's Diner,17.93,25,679.0,17.93,448.25000762939453
2019-01-07,79,Fruity Frozen Slushy,4,Fou Cher,3.75,1,137.0,3.75,3.75
2019-01-07,88,Oysters Rockefeller,6,Surfs Up,16.06,1,204.0,16.06,16.059999465942383
2019-01-07,89,Awesome Soft Drink,6,Surfs Up,3.06,3,248.0,3.06,9.179999828338623
2019-01-07,92,Margarita,4,Fou Cher,3.23,1,418.0,3.23,3.2300000190734863
2019-01-07,94,Fruity Milky Smoothy,6,Surfs Up,5.71,1,331.0,5.71,5.710000038146973
2019-01-08,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,10,763.0,26.42,264.20000076293945
2019-01-08,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,3,478.0,4.87,14.609999656677246
2019-01-08,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,8,490.0,4.18,33.439998626708984
2019-01-08,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,75,284.0,3.21,240.75000286102295
2019-01-08,19,Strawberry Smoothy,1,Bob's Diner,2.89,80,145.0,2.89,231.20000839233398
2019-01-08,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,2,269.0,23.23,46.459999084472656
2019-01-08,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,6,671.0,10.86,65.15999794006348
2019-01-08,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,2,318.0,2.91,5.820000171661377
2019-01-08,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,6,613.0,28.75,172.5
2019-01-08,58,Lamb with Vegetables Meal,5,Corner Cafe,13.66,1,485.0,13.66,13.65999984741211
2019-01-08,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,21,392.0,23.37,490.77001762390137
2019-01-08,62,Sweet Vegi Soft Drink,2,Beachfront Bar,5.7,1,538.0,5.7,5.699999809265137
2019-01-08,67,Sweet Lamb Cake,1,Bob's Diner,7.0,9,558.0,7.0,63.0
2019-01-08,74,Super Sweet Cocktail,4,Fou Cher,4.11,1,619.0,4.11,4.110000133514404
2019-01-08,76,Amazing pork lunch,1,Bob's Diner,17.93,27,679.0,17.93,484.1100082397461
2019-01-08,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,1,881.0,53.98,53.97999954223633
2019-01-08,89,Awesome Soft Drink,6,Surfs Up,3.06,1,248.0,3.06,3.059999942779541
2019-01-09,3,Sweet Fruity Cake,1,Bob's Diner,29.22,2,931.0,29.22,58.439998626708984
2019-01-09,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,19,763.0,26.42,501.98000144958496
2019-01-09,8,Amazing Trout with Vegetables Dinner,6,Surfs Up,24.98,1,258.0,24.98,24.979999542236328
2019-01-09,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,6,478.0,4.87,29.219999313354492
2019-01-09,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,12,490.0,4.18,50.15999794006348
2019-01-09,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,115,284.0,3.21,369.15000438690186
2019-01-09,19,Strawberry Smoothy,1,Bob's Diner,2.89,99,145.0,2.89,286.1100103855133
2019-01-09,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,6,269.0,23.23,139.37999725341797
2019-01-09,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,5,671.0,10.86,54.29999828338623
2019-01-09,25,Fantastic Frozen Milky Cake,1,Bob's Diner,6.23,1,587.0,6.23,6.230000019073486
2019-01-09,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-09,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,1,227.0,23.43,23.43000030517578
2019-01-09,49,Awesome Smoothy,3,Sweet Shack,1.39,2,78.0,1.39,2.7799999713897705
2019-01-09,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,5,613.0,28.75,143.75
2019-01-09,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,24,392.0,23.37,560.8800201416016
2019-01-09,67,Sweet Lamb Cake,1,Bob's Diner,7.0,14,558.0,7.0,98.0
2019-01-09,76,Amazing pork lunch,1,Bob's Diner,17.93,31,679.0,17.93,555.8300094604492
2019-01-09,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,1,838.0,7.71,7.710000038146973
2019-01-09,97,Original Fruity Cod with Bread and Vegetables Entree,4,Fou Cher,28.65,1,744.0,28.65,28.649999618530273
2019-01-10,3,Sweet Fruity Cake,1,Bob's Diner,29.22,2,931.0,29.22,58.439998626708984
2019-01-10,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,25,763.0,26.42,660.5000019073486
2019-01-10,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,9,478.0,4.87,43.82999897003174
2019-01-10,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,9,490.0,4.18,37.61999845504761
2019-01-10,14,Amazing Cocktail,6,Surfs Up,3.9,1,472.0,3.9,3.9000000953674316
2019-01-10,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,138,284.0,3.21,442.9800052642822
2019-01-10,19,Strawberry Smoothy,1,Bob's Diner,2.89,135,145.0,2.89,390.1500141620636
2019-01-10,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,8,269.0,23.23,185.83999633789062
2019-01-10,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,12,671.0,10.86,130.31999588012695
2019-01-10,25,Fantastic Frozen Milky Cake,1,Bob's Diner,6.23,1,587.0,6.23,6.230000019073486
2019-01-10,36,Fantastic Fish with Vegetables Entree,5,Corner Cafe,21.14,1,232.0,21.14,21.139999389648438
2019-01-10,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,2,318.0,2.91,5.820000171661377
2019-01-10,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,1,227.0,23.43,23.43000030517578
2019-01-10,49,Awesome Smoothy,3,Sweet Shack,1.39,3,78.0,1.39,4.169999957084656
2019-01-10,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,17,613.0,28.75,488.75
2019-01-10,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,29,392.0,23.37,677.7300243377686
2019-01-10,67,Sweet Lamb Cake,1,Bob's Diner,7.0,16,558.0,7.0,112.0
2019-01-10,73,Milky Cake,1,Bob's Diner,5.16,1,596.0,5.16,5.159999847412109
2019-01-10,76,Amazing pork lunch,1,Bob's Diner,17.93,38,679.0,17.93,681.3400115966797
2019-01-10,89,Awesome Soft Drink,6,Surfs Up,3.06,1,248.0,3.06,3.059999942779541
2019-01-10,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,2,838.0,7.71,15.420000076293945
2019-01-10,97,Original Fruity Cod with Bread and Vegetables Entree,4,Fou Cher,28.65,1,744.0,28.65,28.649999618530273
2019-01-11,3,Sweet Fruity Cake,1,Bob's Diner,29.22,3,931.0,29.22,87.65999794006348
2019-01-11,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,26,763.0,26.42,686.9200019836426
2019-01-11,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,6,478.0,4.87,29.219999313354492
2019-01-11,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,15,490.0,4.18,62.699997425079346
2019-01-11,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,200,284.0,3.21,642.0000076293945
2019-01-11,19,Strawberry Smoothy,1,Bob's Diner,2.89,176,145.0,2.89,508.64001846313477
2019-01-11,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,11,269.0,23.23,255.5299949645996
2019-01-11,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,21,671.0,10.86,228.05999279022217
2019-01-11,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,1,227.0,23.43,23.43000030517578
2019-01-11,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,16,613.0,28.75,460.0
2019-01-11,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,31,392.0,23.37,724.4700260162354
2019-01-11,67,Sweet Lamb Cake,1,Bob's Diner,7.0,30,558.0,7.0,210.0
2019-01-11,71,Frozen Milky Smoothy,5,Corner Cafe,3.98,1,211.0,3.98,3.9800000190734863
2019-01-11,76,Amazing pork lunch,1,Bob's Diner,17.93,40,679.0,17.93,717.2000122070312
2019-01-11,88,Oysters Rockefeller,6,Surfs Up,16.06,1,204.0,16.06,16.059999465942383
2019-01-11,89,Awesome Soft Drink,6,Surfs Up,3.06,3,248.0,3.06,9.179999828338623
2019-01-11,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,2,838.0,7.71,15.420000076293945
2019-01-12,3,Sweet Fruity Cake,1,Bob's Diner,29.22,2,931.0,29.22,58.439998626708984
2019-01-12,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,30,763.0,26.42,792.6000022888184
2019-01-12,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,7,478.0,4.87,34.089999198913574
2019-01-12,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,11,490.0,4.18,45.97999811172485
2019-01-12,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,208,284.0,3.21,667.6800079345703
2019-01-12,19,Strawberry Smoothy,1,Bob's Diner,2.89,198,145.0,2.89,572.2200207710266
2019-01-12,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,12,269.0,23.23,278.75999450683594
2019-01-12,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,15,671.0,10.86,162.8999948501587
2019-01-12,25,Fantastic Frozen Milky Cake,1,Bob's Diner,6.23,2,587.0,6.23,12.460000038146973
2019-01-12,27,Steak Meal,6,Surfs Up,26.21,1,607.0,26.21,26.209999084472656
2019-01-12,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,3,227.0,23.43,70.29000091552734
2019-01-12,49,Awesome Smoothy,3,Sweet Shack,1.39,1,78.0,1.39,1.3899999856948853
2019-01-12,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,21,613.0,28.75,603.75
2019-01-12,58,Lamb with Vegetables Meal,5,Corner Cafe,13.66,1,485.0,13.66,13.65999984741211
2019-01-12,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,24,392.0,23.37,560.8800201416016
2019-01-12,67,Sweet Lamb Cake,1,Bob's Diner,7.0,26,558.0,7.0,182.0
2019-01-12,73,Milky Cake,1,Bob's Diner,5.16,1,596.0,5.16,5.159999847412109
2019-01-12,76,Amazing pork lunch,1,Bob's Diner,17.93,46,679.0,17.93,824.7800140380859
2019-01-12,89,Awesome Soft Drink,6,Surfs Up,3.06,1,248.0,3.06,3.059999942779541
2019-01-12,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,3,838.0,7.71,23.130000114440918
2019-01-13,3,Sweet Fruity Cake,1,Bob's Diner,29.22,1,931.0,29.22,29.219999313354492
2019-01-13,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,15,763.0,26.42,396.3000011444092
2019-01-13,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,2,478.0,4.87,9.739999771118164
2019-01-13,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,8,490.0,4.18,33.439998626708984
2019-01-13,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,87,284.0,3.21,279.2700033187866
2019-01-13,19,Strawberry Smoothy,1,Bob's Diner,2.89,77,145.0,2.89,222.53000807762146
2019-01-13,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,2,269.0,23.23,46.459999084472656
2019-01-13,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,4,671.0,10.86,43.439998626708984
2019-01-13,26,Blue Ribbon Lamb with Rolls Lunch,5,Corner Cafe,7.55,1,611.0,7.55,7.550000190734863
2019-01-13,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-13,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,2,227.0,23.43,46.86000061035156
2019-01-13,49,Awesome Smoothy,3,Sweet Shack,1.39,3,78.0,1.39,4.169999957084656
2019-01-13,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,5,613.0,28.75,143.75
2019-01-13,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,17,392.0,23.37,397.2900142669678
2019-01-13,67,Sweet Lamb Cake,1,Bob's Diner,7.0,15,558.0,7.0,105.0
2019-01-13,74,Super Sweet Cocktail,4,Fou Cher,4.11,1,619.0,4.11,4.110000133514404
2019-01-13,76,Amazing pork lunch,1,Bob's Diner,17.93,19,679.0,17.93,340.67000579833984
2019-01-13,80,Blue Ribbon Fruity Vegi Lunch,4,Fou Cher,53.98,1,881.0,53.98,53.97999954223633
2019-01-13,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,1,838.0,7.71,7.710000038146973
2019-01-14,3,Sweet Fruity Cake,1,Bob's Diner,29.22,1,931.0,29.22,29.219999313354492
